timestamp,size_vram_bytes,size_total_bytes,context_length,expires_at
2026-06-12T11:01:32Z,9282456124,15990521853,262144,2026-06-12T14:01:43.9267662+03:00
2026-06-12T11:01:32Z,9282456124,15990521853,262144,2026-06-12T14:01:44.477623+03:00
2026-06-12T11:01:33Z,9282456124,15990521853,262144,2026-06-12T14:01:45.0367477+03:00
2026-06-12T11:01:34Z,9282456124,15990521853,262144,2026-06-12T14:01:45.5800359+03:00
2026-06-12T11:01:34Z,9282456124,15990521853,262144,2026-06-12T14:01:46.1263773+03:00
2026-06-12T11:01:35Z,9282456124,15990521853,262144,2026-06-12T14:01:46.672122+03:00
2026-06-12T11:01:35Z,9282456124,15990521853,262144,2026-06-12T14:01:47.2180881+03:00
2026-06-12T11:01:36Z,9282456124,15990521853,262144,2026-06-12T14:01:47.7673922+03:00
2026-06-12T11:01:36Z,9282456124,15990521853,262144,2026-06-12T14:01:48.3256706+03:00
2026-06-12T11:01:37Z,9282456124,15990521853,262144,2026-06-12T14:01:48.8778094+03:00
2026-06-12T11:01:37Z,9282456124,15990521853,262144,2026-06-12T14:01:49.426365+03:00
2026-06-12T11:01:38Z,9282456124,15990521853,262144,2026-06-12T14:01:49.9838466+03:00
2026-06-12T11:01:39Z,9282456124,15990521853,262144,2026-06-12T14:01:50.5276772+03:00
2026-06-12T11:01:39Z,9282456124,15990521853,262144,2026-06-12T14:01:51.0777445+03:00
2026-06-12T11:01:40Z,9282456124,15990521853,262144,2026-06-12T14:01:51.6124253+03:00
2026-06-12T11:01:40Z,9282456124,15990521853,262144,2026-06-12T14:01:52.1644416+03:00
2026-06-12T11:01:41Z,9282456124,15990521853,262144,2026-06-12T14:01:52.7041377+03:00
2026-06-12T11:01:41Z,9282456124,15990521853,262144,2026-06-12T14:01:53.2477266+03:00
2026-06-12T11:01:42Z,9282456124,15990521853,262144,2026-06-12T14:01:53.7976939+03:00
2026-06-12T11:01:42Z,9282456124,15990521853,262144,2026-06-12T14:01:54.3589551+03:00
2026-06-12T11:01:43Z,9282456124,15990521853,262144,2026-06-12T14:01:54.8983964+03:00
2026-06-12T11:01:43Z,9282456124,15990521853,262144,2026-06-12T14:01:55.4487475+03:00
2026-06-12T11:01:44Z,9282456124,15990521853,262144,2026-06-12T14:01:55.9956034+03:00
2026-06-12T11:01:45Z,9282456124,15990521853,262144,2026-06-12T14:01:56.542497+03:00
2026-06-12T11:01:45Z,9282456124,15990521853,262144,2026-06-12T14:01:57.0941822+03:00
2026-06-12T11:01:46Z,9282456124,15990521853,262144,2026-06-12T14:01:57.6424003+03:00
2026-06-12T11:01:46Z,9282456124,15990521853,262144,2026-06-12T14:01:58.1962594+03:00
2026-06-12T11:01:47Z,9282456124,15990521853,262144,2026-06-12T14:01:58.7410168+03:00
2026-06-12T11:01:47Z,9282456124,15990521853,262144,2026-06-12T14:01:59.2947337+03:00
2026-06-12T11:01:48Z,9282456124,15990521853,262144,2026-06-12T14:01:59.8466506+03:00
2026-06-12T11:01:48Z,9282456124,15990521853,262144,2026-06-12T14:02:00.3950187+03:00
