timestamp,size_vram_bytes,size_total_bytes,context_length,expires_at
2026-06-12T10:56:40Z,12145729207,15722096883,131072,2026-06-12T13:56:52.0031801+03:00
2026-06-12T10:56:41Z,12145729207,15722096883,131072,2026-06-12T13:56:52.5516921+03:00
2026-06-12T10:56:41Z,12145729207,15722096883,131072,2026-06-12T13:56:53.0948459+03:00
2026-06-12T10:56:42Z,12145729207,15722096883,131072,2026-06-12T13:56:53.650087+03:00
2026-06-12T10:56:42Z,12145729207,15722096883,131072,2026-06-12T13:56:54.2118751+03:00
2026-06-12T10:56:43Z,12145729207,15722096883,131072,2026-06-12T13:56:54.7604444+03:00
2026-06-12T10:56:43Z,12145729207,15722096883,131072,2026-06-12T13:56:55.3144828+03:00
2026-06-12T10:56:44Z,12145729207,15722096883,131072,2026-06-12T13:56:55.8664809+03:00
2026-06-12T10:56:44Z,12145729207,15722096883,131072,2026-06-12T13:56:56.4062401+03:00
2026-06-12T10:56:45Z,12145729207,15722096883,131072,2026-06-12T13:56:56.9581757+03:00
2026-06-12T10:56:45Z,12145729207,15722096883,131072,2026-06-12T13:56:57.5086383+03:00
2026-06-12T10:56:46Z,12145729207,15722096883,131072,2026-06-12T13:56:58.0606525+03:00
2026-06-12T10:56:47Z,12145729207,15722096883,131072,2026-06-12T13:56:58.6199382+03:00
2026-06-12T10:56:47Z,12145729207,15722096883,131072,2026-06-12T13:56:59.1628469+03:00
2026-06-12T10:56:48Z,12145729207,15722096883,131072,2026-06-12T13:56:59.7168951+03:00
2026-06-12T10:56:48Z,12145729207,15722096883,131072,2026-06-12T13:57:00.2668889+03:00
2026-06-12T10:56:49Z,12145729207,15722096883,131072,2026-06-12T13:57:00.8180581+03:00
2026-06-12T10:56:49Z,12145729207,15722096883,131072,2026-06-12T13:57:01.3798739+03:00
2026-06-12T10:57:02Z,13363262258,15587879155,65536,2026-06-12T13:57:14.03231+03:00
2026-06-12T10:57:03Z,13363262258,15587879155,65536,2026-06-12T13:57:14.5755164+03:00
2026-06-12T10:57:03Z,13363262258,15587879155,65536,2026-06-12T13:57:15.1326776+03:00
2026-06-12T10:57:04Z,13363262258,15587879155,65536,2026-06-12T13:57:15.682835+03:00
2026-06-12T10:57:04Z,13363262258,15587879155,65536,2026-06-12T13:57:16.2263532+03:00
2026-06-12T10:57:05Z,13363262258,15587879155,65536,2026-06-12T13:57:16.771112+03:00
2026-06-12T10:57:05Z,13363262258,15587879155,65536,2026-06-12T13:57:17.3292551+03:00
2026-06-12T10:57:06Z,13363262258,15587879155,65536,2026-06-12T13:57:17.8879674+03:00
2026-06-12T10:57:06Z,13363262258,15587879155,65536,2026-06-12T13:57:18.4355302+03:00
2026-06-12T10:57:07Z,13363262258,15587879155,65536,2026-06-12T13:57:18.9899249+03:00
2026-06-12T10:57:08Z,13363262258,15587879155,65536,2026-06-12T13:57:19.5426991+03:00
2026-06-12T10:57:08Z,13363262258,15587879155,65536,2026-06-12T13:57:20.0871811+03:00
2026-06-12T10:57:09Z,13363262258,15587879155,65536,2026-06-12T13:57:20.6375855+03:00
2026-06-12T10:57:09Z,13363262258,15587879155,65536,2026-06-12T13:57:21.200412+03:00
2026-06-12T10:57:10Z,13363262258,15587879155,65536,2026-06-12T13:57:21.7449489+03:00
2026-06-12T10:57:10Z,13363262258,15587879155,65536,2026-06-12T13:57:22.2931319+03:00
2026-06-12T10:57:11Z,13363262258,15587879155,65536,2026-06-12T13:57:22.8548056+03:00
2026-06-12T10:57:11Z,13363262258,15587879155,65536,2026-06-12T13:57:23.4083227+03:00
2026-06-12T10:57:12Z,13363262258,15587879155,65536,2026-06-12T13:57:23.9564422+03:00
2026-06-12T10:57:12Z,13363262258,15587879155,65536,2026-06-12T13:57:24.5120723+03:00
2026-06-12T10:57:13Z,13363262258,15587879155,65536,2026-06-12T13:57:25.0663873+03:00
2026-06-12T10:57:14Z,13363262258,15587879155,65536,2026-06-12T13:57:25.6112482+03:00
2026-06-12T10:57:14Z,13363262258,15587879155,65536,2026-06-12T13:57:26.1590225+03:00
2026-06-12T10:57:15Z,13363262258,15587879155,65536,2026-06-12T13:57:26.7169789+03:00
2026-06-12T10:57:15Z,13363262258,15587879155,65536,2026-06-12T13:57:27.2652922+03:00
2026-06-12T10:57:16Z,13363262258,15587879155,65536,2026-06-12T13:57:27.821209+03:00
2026-06-12T10:57:16Z,13363262258,15587879155,65536,2026-06-12T13:57:28.374034+03:00
2026-06-12T10:57:17Z,13363262258,15587879155,65536,2026-06-12T13:57:28.9371078+03:00
2026-06-12T10:57:17Z,13363262258,15587879155,65536,2026-06-12T13:57:29.4867517+03:00
2026-06-12T10:57:18Z,13363262258,15587879155,65536,2026-06-12T13:57:30.0376959+03:00
2026-06-12T10:57:19Z,13363262258,15587879155,65536,2026-06-12T13:57:30.5784293+03:00
2026-06-12T10:57:19Z,13363262258,15587879155,65536,2026-06-12T13:57:31.1235495+03:00
2026-06-12T10:57:20Z,13363262258,15587879155,65536,2026-06-12T13:57:31.6701587+03:00
2026-06-12T10:57:20Z,13363262258,15587879155,65536,2026-06-12T13:57:32.2210465+03:00
2026-06-12T10:57:21Z,13363262258,15587879155,65536,2026-06-12T13:57:32.7781828+03:00
2026-06-12T10:57:21Z,13363262258,15587879155,65536,2026-06-12T13:57:33.3242489+03:00
2026-06-12T10:57:22Z,13363262258,15587879155,65536,2026-06-12T13:57:33.8764943+03:00
2026-06-12T10:57:22Z,13363262258,15587879155,65536,2026-06-12T13:57:34.4269693+03:00
2026-06-12T10:57:23Z,13363262258,15587879155,65536,2026-06-12T13:57:34.9775269+03:00
2026-06-12T10:57:24Z,13363262258,15587879155,65536,2026-06-12T13:57:35.5275021+03:00
2026-06-12T10:57:24Z,13363262258,15587879155,65536,2026-06-12T13:57:36.0746504+03:00
2026-06-12T10:57:25Z,13363262258,15587879155,65536,2026-06-12T13:57:36.6205755+03:00
2026-06-12T10:57:25Z,13363262258,15587879155,65536,2026-06-12T13:57:37.1659915+03:00
2026-06-12T10:57:26Z,13363262258,15587879155,65536,2026-06-12T13:57:37.7165927+03:00
2026-06-12T10:57:26Z,13363262258,15587879155,65536,2026-06-12T13:57:38.2619286+03:00
2026-06-12T10:57:27Z,13363262258,15587879155,65536,2026-06-12T13:57:38.8195714+03:00
2026-06-12T10:57:27Z,13363262258,15587879155,65536,2026-06-12T13:57:39.3717782+03:00
2026-06-12T10:57:40Z,12145729207,15722096883,131072,2026-06-12T13:57:52.0463642+03:00
2026-06-12T10:57:41Z,12145729207,15722096883,131072,2026-06-12T13:57:52.5982198+03:00
2026-06-12T10:57:41Z,12145729207,15722096883,131072,2026-06-12T13:57:53.1521166+03:00
2026-06-12T10:57:42Z,12145729207,15722096883,131072,2026-06-12T13:57:53.7065685+03:00
2026-06-12T10:57:42Z,12145729207,15722096883,131072,2026-06-12T13:57:54.2559079+03:00
2026-06-12T10:57:43Z,12145729207,15722096883,131072,2026-06-12T13:57:54.797874+03:00
2026-06-12T10:57:43Z,12145729207,15722096883,131072,2026-06-12T13:57:55.3448101+03:00
2026-06-12T10:57:44Z,12145729207,15722096883,131072,2026-06-12T13:57:55.8906631+03:00
2026-06-12T10:57:44Z,12145729207,15722096883,131072,2026-06-12T13:57:56.4385391+03:00
2026-06-12T10:57:45Z,12145729207,15722096883,131072,2026-06-12T13:57:56.9910555+03:00
2026-06-12T10:57:46Z,12145729207,15722096883,131072,2026-06-12T13:57:57.5324281+03:00
2026-06-12T10:57:46Z,12145729207,15722096883,131072,2026-06-12T13:57:58.0807369+03:00
2026-06-12T10:57:47Z,12145729207,15722096883,131072,2026-06-12T13:57:58.6321579+03:00
2026-06-12T10:57:47Z,12145729207,15722096883,131072,2026-06-12T13:57:59.1901335+03:00
2026-06-12T10:57:48Z,12145729207,15722096883,131072,2026-06-12T13:57:59.741136+03:00
2026-06-12T10:57:48Z,12145729207,15722096883,131072,2026-06-12T13:58:00.2893057+03:00
2026-06-12T10:57:49Z,12145729207,15722096883,131072,2026-06-12T13:58:00.8417281+03:00
2026-06-12T10:57:49Z,12145729207,15722096883,131072,2026-06-12T13:58:01.3884475+03:00
2026-06-12T10:57:50Z,12145729207,15722096883,131072,2026-06-12T13:58:01.9428235+03:00
2026-06-12T10:57:50Z,12145729207,15722096883,131072,2026-06-12T13:58:02.4923365+03:00
2026-06-12T10:57:51Z,12145729207,15722096883,131072,2026-06-12T13:58:03.0437448+03:00
2026-06-12T10:57:52Z,12145729207,15722096883,131072,2026-06-12T13:58:03.5980168+03:00
2026-06-12T10:57:52Z,12145729207,15722096883,131072,2026-06-12T13:58:04.1443055+03:00
2026-06-12T10:57:53Z,12145729207,15722096883,131072,2026-06-12T13:58:04.6978977+03:00
2026-06-12T10:57:53Z,12145729207,15722096883,131072,2026-06-12T13:58:05.2459844+03:00
